id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,19.841780457999448,0.0,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,31.318390125000406,0.007896,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,21.231743082999856,0.00856725,2,True,,True,1.0,
gjhh-004,extractiva,GOOGL,15.533453874999395,0.008175749999999999,2,True,,True,1.0,
gjhh-005,extractiva,META,17.354176832999656,0.008346,2,True,,True,1.0,
gjhh-006,extractiva,AMZN,14.809508833000109,0.008211000000000001,2,True,,True,1.0,
gjhh-007,numerica,NVDA,15.76197754199984,0.0037605,2,,True,True,,
gjhh-008,numerica,MSFT,9.71845462500005,0.00380925,2,,True,True,,
gjhh-009,numerica,AAPL,17.156599208000443,0.00371025,2,,True,True,,
gjhh-010,numerica,GOOGL,11.402729665999686,0.00374775,2,,True,True,,
gjhh-011,numerica,META,9.479095957999562,0.0035564999999999998,2,,True,True,,
gjhh-012,numerica,AMZN,30.707981084000494,0.01130475,4,,True,True,,
gjhh-013,comparativa,NVDA,14.081043375000263,0.0057585,3,False,True,False,0.0,
gjhh-014,comparativa,MSFT,20.332891500000187,0.0103935,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,9.581377874999816,0.003966,3,False,True,False,0.0,
gjhh-016,comparativa,GOOGL,9.613275207999322,0.004429499999999999,3,False,True,False,0.0,
gjhh-017,comparativa,META,23.74429337499987,0.01209825,5,True,True,True,0.0,
gjhh-018,comparativa,AAPL,20.981319874999826,0.013419,7,False,True,True,0.0,
gjhh-019,comparativa,GOOGL,10.658098292000432,0.00397575,3,False,True,False,0.0,
gjhh-020,comparativa,AMZN,21.94056675000047,0.010121999999999999,4,True,True,True,1.0,
