id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,15.257531167000707,0.005118,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,8.831137332999788,0.0047145,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,19.933633999999074,0.0227364,5,True,,True,1.0,
gjhh-004,extractiva,GOOGL,9.313559958000042,0.0060915,2,True,,True,1.0,
gjhh-005,extractiva,META,13.758433999999397,0.01005675,3,False,,True,1.0,
gjhh-006,extractiva,AMZN,9.928029082999274,0.00586125,2,True,,True,1.0,
gjhh-007,numerica,NVDA,10.302877709000313,0.0038055,2,,True,True,,
gjhh-008,numerica,MSFT,9.932125124998493,0.00354675,2,,True,True,,
gjhh-009,numerica,AAPL,16.639890415999616,0.003624,2,,True,True,,
gjhh-010,numerica,GOOGL,11.82499416599967,0.00388275,2,,True,True,,
gjhh-011,numerica,META,9.239800792000096,0.003534,2,,True,True,,
gjhh-012,numerica,AMZN,19.429925333999563,0.008187,4,,True,True,,
gjhh-013,comparativa,NVDA,14.929789916999653,0.0078135,4,False,True,True,1.0,
gjhh-014,comparativa,MSFT,16.154289124999195,0.01079025,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,23.183407332999195,0.0162345,5,True,True,True,0.0,
gjhh-016,comparativa,GOOGL,19.771730250000473,0.01259025,4,False,True,True,0.0,
gjhh-017,comparativa,META,29.714285750000272,0.015200249999999998,6,True,True,True,0.0,
gjhh-018,comparativa,AAPL,17.361560332999943,0.013173,5,False,True,True,0.0,
gjhh-019,comparativa,GOOGL,18.328073291000692,0.009027,4,False,True,True,1.0,
gjhh-020,comparativa,AMZN,17.352923291999105,0.010572,4,True,True,True,1.0,
