id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,17.432740500000364,0.006489,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,18.5456880419988,0.00525525,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,49.13926020899817,0.020229525,6,False,,True,0.0,El agente terminó sin una respuesta estructurada.
gjhh-004,extractiva,GOOGL,11.07327791699936,0.00719475,2,True,,True,1.0,
gjhh-005,extractiva,META,8.370759792000172,0.0054547499999999995,1,True,,True,1.0,
gjhh-006,extractiva,AMZN,12.026163875001657,0.007921500000000001,2,True,,True,1.0,
gjhh-007,numerica,NVDA,21.495147833000374,0.006771,2,,True,True,,
gjhh-008,numerica,MSFT,19.47977316700053,0.00800475,3,,True,True,,
gjhh-009,numerica,AAPL,23.692563624998,0.01059375,4,,True,True,,
gjhh-010,numerica,GOOGL,21.125420458000008,0.00834375,3,,True,True,,
gjhh-011,numerica,META,12.661588916002074,0.008116499999999999,3,,True,True,,
gjhh-012,numerica,AMZN,44.8809607080002,0.01073325,4,,True,True,,
gjhh-013,comparativa,NVDA,16.858824750001077,0.01437825,4,True,True,True,0.0,
gjhh-014,comparativa,MSFT,33.89283783299834,0.00932325,4,True,True,True,0.0,
gjhh-015,comparativa,AAPL,14.850887332999264,0.00920325,4,True,True,True,1.0,
gjhh-016,comparativa,GOOGL,22.825138291998883,0.009621000000000001,4,True,True,True,1.0,
gjhh-017,comparativa,META,33.58389137500126,0.009298500000000001,4,True,True,True,1.0,
gjhh-018,comparativa,AAPL,15.254526125001576,0.00964425,4,True,True,True,1.0,
gjhh-019,comparativa,GOOGL,36.157181416998355,0.017067,5,True,True,True,0.0,
gjhh-020,comparativa,AMZN,14.134131499999057,0.009546,4,True,True,True,1.0,
