id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,24.022672541000247,0.00638475,2,True,,True,1.0,
gjhh-002,extractiva,MSFT,18.124596999999994,0.00740475,2,True,,True,1.0,
gjhh-003,extractiva,AAPL,9.526623208000274,0.00651825,2,True,,True,1.0,
gjhh-004,extractiva,GOOGL,11.869661916999576,0.00620325,2,True,,True,1.0,
gjhh-005,extractiva,META,13.309227249999822,0.0054937499999999995,1,False,,True,1.0,
gjhh-006,extractiva,AMZN,12.0888706249998,0.011526,3,True,,True,1.0,
gjhh-007,numerica,NVDA,9.126323249999587,0.00257325,1,,True,True,,
gjhh-008,numerica,MSFT,9.173977000000377,0.0037080000000000004,2,,True,True,,
gjhh-009,numerica,AAPL,20.290511041000173,0.0041565000000000005,2,,True,True,,
gjhh-010,numerica,GOOGL,8.802746959000615,0.004038,2,,True,True,,
gjhh-011,numerica,META,10.175202416999127,0.0036165,2,,True,True,,
gjhh-012,numerica,AMZN,14.475271749999592,0.00527025,3,,True,True,,
gjhh-013,comparativa,NVDA,17.420934124999803,0.0083265,4,False,True,True,1.0,
gjhh-014,comparativa,MSFT,21.52905591599938,0.0091305,4,False,True,True,1.0,
gjhh-015,comparativa,AAPL,15.114689584000189,0.007615499999999999,4,False,True,True,0.0,
gjhh-016,comparativa,GOOGL,10.052373042,0.00467325,3,False,True,False,0.0,
gjhh-017,comparativa,META,9.929669666999871,0.004302,3,False,True,False,0.0,
gjhh-018,comparativa,AAPL,26.99119329199948,0.01449,5,False,True,True,0.0,
gjhh-019,comparativa,GOOGL,14.962264791000052,0.0078285,4,False,True,True,0.0,
gjhh-020,comparativa,AMZN,19.99914741700013,0.0050355,3,False,False,False,0.0,
