id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,17.38510495800074,0.006165749999999999,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,23.07256445799794,0.005100749999999999,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,18.72615824999957,0.018215325,6,False,,True,0.0,El agente terminó sin una respuesta estructurada.
gjhh-004,extractiva,GOOGL,24.311608875003003,0.0076845,2,True,,True,1.0,
gjhh-005,extractiva,META,9.902243291999184,0.010454999999999999,2,True,,True,1.0,
gjhh-006,extractiva,AMZN,29.324050208997505,0.0111735,3,True,,True,1.0,
gjhh-007,numerica,NVDA,6.337121000000479,0.00537525,2,,True,True,,
gjhh-008,numerica,MSFT,19.914049084,0.007877249999999999,3,,True,True,,
gjhh-009,numerica,AAPL,13.712925542000448,0.006822750000000001,3,,True,True,,
gjhh-010,numerica,GOOGL,22.707170749999932,0.0069022499999999995,3,,True,True,,
gjhh-011,numerica,META,11.289400334000675,0.00434475,2,,True,True,,
gjhh-012,numerica,AMZN,10.437045291997492,0.0060675,4,,True,True,,
gjhh-013,comparativa,NVDA,22.028103709002608,0.01354125,5,True,True,True,1.0,
gjhh-014,comparativa,MSFT,16.880816208002216,0.0098745,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,19.796682625001267,0.00866625,4,True,True,True,0.0,
gjhh-016,comparativa,GOOGL,17.982995834001485,0.0084615,4,True,True,True,1.0,
gjhh-017,comparativa,META,13.558256459000404,0.00899025,4,True,True,True,0.0,
gjhh-018,comparativa,AAPL,13.567437624999002,0.012489,5,True,True,True,0.0,
gjhh-019,comparativa,GOOGL,24.185991624999588,0.008136000000000001,4,True,True,True,1.0,
gjhh-020,comparativa,AMZN,23.29184383300162,0.010517249999999999,4,True,True,True,1.0,
