id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,16.238373874999525,0.00587625,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,9.403105624998716,0.0055515,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,20.720638416001748,0.00791775,2,True,,True,1.0,
gjhh-004,extractiva,GOOGL,6.848645083002339,0.005601,1,True,,True,1.0,
gjhh-005,extractiva,META,8.741315125000256,0.0054210000000000005,1,True,,True,1.0,
gjhh-006,extractiva,AMZN,9.647424708000472,0.00737925,2,True,,True,1.0,
gjhh-007,numerica,NVDA,10.601564790998964,0.0061545,2,,True,True,,
gjhh-008,numerica,MSFT,14.0423433750002,0.008671499999999999,3,,True,True,,
gjhh-009,numerica,AAPL,12.6934223749995,0.007662,3,,True,True,,
gjhh-010,numerica,GOOGL,19.257287249998626,0.008556000000000001,3,,True,True,,
gjhh-011,numerica,META,12.483582791999652,0.00812475,3,,True,True,,
gjhh-012,numerica,AMZN,13.663565209000808,0.00839925,4,,True,True,,
gjhh-013,comparativa,NVDA,22.40717308300009,0.0088395,3,True,True,True,0.0,
gjhh-014,comparativa,MSFT,17.82243387500057,0.0094215,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,22.38509329199951,0.00946125,4,True,True,True,1.0,
gjhh-016,comparativa,GOOGL,14.852859083999647,0.009498,4,True,True,True,1.0,
gjhh-017,comparativa,META,15.864650583000184,0.009258,4,True,True,True,1.0,
gjhh-018,comparativa,AAPL,24.74059041700093,0.0110265,4,True,True,True,1.0,
gjhh-019,comparativa,GOOGL,28.511991958999715,0.00983325,4,True,True,True,1.0,
gjhh-020,comparativa,AMZN,22.09746683400226,0.011499,4,True,True,True,1.0,
