id,familia,ticker,latencia_s,coste_usd,llamadas,cita,cifra,trayectoria,recall,error
gjhh-001,extractiva,NVDA,14.86688637500265,0.005562,1,True,,True,1.0,
gjhh-002,extractiva,MSFT,31.804460167000798,0.006861,1,True,,True,1.0,
gjhh-003,extractiva,AAPL,10.992025208000996,0.0068804999999999995,2,True,,True,1.0,
gjhh-004,extractiva,GOOGL,9.321553207999386,0.00669375,2,True,,True,1.0,
gjhh-005,extractiva,META,6.6492944169986,0.0051465,1,True,,True,1.0,
gjhh-006,extractiva,AMZN,41.2524245420027,0.01156425,3,True,,True,1.0,
gjhh-007,numerica,NVDA,26.027485915998113,0.008890499999999999,3,,True,True,,
gjhh-008,numerica,MSFT,13.153002916998958,0.0068902500000000005,3,,True,True,,
gjhh-009,numerica,AAPL,13.22945174999768,0.006284250000000001,3,,True,True,,
gjhh-010,numerica,GOOGL,16.99985908400049,0.0100875,4,,True,True,,
gjhh-011,numerica,META,13.71897275000083,0.00752325,3,,True,True,,
gjhh-012,numerica,AMZN,16.914522832998045,0.008261999999999999,4,,True,True,,
gjhh-013,comparativa,NVDA,7.354103124998801,0.00628125,3,True,True,True,1.0,
gjhh-014,comparativa,MSFT,30.128555292001693,0.007932749999999999,4,True,True,True,1.0,
gjhh-015,comparativa,AAPL,31.57590220899874,0.01366425,5,True,True,True,0.0,
gjhh-016,comparativa,GOOGL,33.560465415997896,0.01488975,5,True,True,True,1.0,
gjhh-017,comparativa,META,26.773707917000138,0.007925999999999999,4,True,True,True,0.0,
gjhh-018,comparativa,AAPL,14.643649583998922,0.00962325,4,True,True,True,0.0,
gjhh-019,comparativa,GOOGL,25.18740324999817,0.01083225,4,True,True,True,1.0,
gjhh-020,comparativa,AMZN,14.027202124998439,0.008078249999999999,4,True,True,True,1.0,
